key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,up,0.005,db,0.05107636764514049,0.000641699880361557,247.99583969986998,247.99583969986998,248.29560779989697,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,up,0.005,db,0.05110577803000356,0.0006021000444889069,250.611705099931,250.611705099931,250.91141769988462,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,up,0.005,db,0.05110577803000356,0.00041999993845820427,253.0608807997778,253.0608807997778,253.36070569977164,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,up,0.005,db,0.05113520534971885,0.000623500207439065,255.5600251997821,255.5600251997821,255.8597280997783,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,up,0.005,db,0.05116464961403765,0.0006112998817116022,258.02584449993446,258.02584449993446,258.32559679984115,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,up,0.005,db,0.051194110832716855,0.0005763999652117491,260.69142419984564,260.69142419984564,260.9916741999332,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,up,0.005,db,0.051223589015519,0.0006258999928832054,263.0573448999785,263.0573448999785,263.3572111998219,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,up,0.005,db,0.05125308417221223,0.00063699996098876,265.5233320998959,265.5233320998959,265.82294819992967,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,77,up,0.005,db,0.05128259631257031,0.0006003000307828188,267.93899059994146,267.93899059994146,268.2389121998567,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,78,up,0.005,db,0.05131212544637264,0.0006081999745219946,270.37163379997946,270.37163379997946,270.6713761999272,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,79,up,0.005,db,0.05131212544637264,0.0003339999821037054,272.78769339993596,272.78769339993596,273.08721979986876,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,80,up,0.005,db,0.05131212544637264,0.0007087001577019691,275.2535283998586,275.2535283998586,275.55308399978094,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,81,down,0.005,db,0.05128259631257031,0.0006119001191109419,277.7524968998041,277.7524968998041,278.0522747999057,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,up,0.005,db,0.05131212544637264,0.0006210000719875097,280.3683189000003,280.3683189000003,280.6681316997856,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,up,0.005,db,0.05134167158340425,0.0006485998164862394,282.83478289982304,282.83478289982304,283.13430749997497,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,up,0.005,db,0.0513712347334558,0.0006553998682647943,285.58315189997666,285.58315189997666,285.88295329990797,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,up,0.005,db,0.0513712347334558,0.0006226999685168266,288.0657035999466,288.0657035999466,288.36558939982206,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,up,0.005,db,0.051400814906323596,0.0005144001916050911,290.66478339978494,290.66478339978494,290.96447649993934,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,up,0.005,db,0.05143041211180958,0.0005961998831480742,293.064009899972,293.064009899972,293.36386449984275,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,88,up,0.005,db,0.05146002635972133,0.0009419000707566738,295.67980219982564,295.67980219982564,295.9792353999801,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,89,up,0.005,db,0.05148965765987208,0.0006665999535471201,298.2788874998223,298.2788874998223,298.5786333999131,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,90,up,0.005,db,0.05151930602208072,0.0003253999166190624,301.01131659979,301.01131659979,301.3111920999363,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,91,up,0.005,db,0.05151930602208072,0.000649500172585249,303.46076989988796,303.46076989988796,303.7602059999481,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,92,up,0.005,db,0.05154897145617179,0.0006131001282483339,306.1929183998145,306.1929183998145,306.4925077999942,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
