2.4971 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
127.2864 	EXP 	grating: autoDraw = False
127.2866 	EXP 	window1: recordFrameIntervals = False
128.2669 	EXP 	fixation: autoDraw = True
129.2692 	EXP 	fixation: autoDraw = False
129.2692 	EXP 	grating: autoDraw = True
129.2692 	EXP 	grating: tex = 'sin'
129.5687 	EXP 	grating: autoDraw = False
129.9549 	EXP 	window1: recordFrameIntervals = False
129.9560 	DATA 	Keypress: left
129.9688 	EXP 	fixation: autoDraw = False
129.9688 	EXP 	grating: autoDraw = False
129.9689 	EXP 	window1: recordFrameIntervals = False
130.9490 	EXP 	fixation: autoDraw = True
131.9515 	EXP 	fixation: autoDraw = False
131.9515 	EXP 	grating: autoDraw = True
131.9515 	EXP 	grating: tex = 'sin'
132.2512 	EXP 	grating: autoDraw = False
132.8368 	EXP 	window1: recordFrameIntervals = False
132.8378 	DATA 	Keypress: right
132.8512 	EXP 	fixation: autoDraw = False
132.8512 	EXP 	grating: autoDraw = False
132.8516 	EXP 	window1: recordFrameIntervals = False
133.8299 	EXP 	fixation: autoDraw = True
134.8340 	EXP 	fixation: autoDraw = False
134.8340 	EXP 	grating: autoDraw = True
134.8340 	EXP 	grating: tex = 'sin'
135.1338 	EXP 	grating: autoDraw = False
135.4689 	EXP 	window1: recordFrameIntervals = False
135.4701 	DATA 	Keypress: right
135.4836 	EXP 	fixation: autoDraw = False
135.4836 	EXP 	grating: autoDraw = False
135.4840 	EXP 	window1: recordFrameIntervals = False
136.4628 	EXP 	fixation: autoDraw = True
137.4664 	EXP 	fixation: autoDraw = False
137.4664 	EXP 	grating: autoDraw = True
137.4664 	EXP 	grating: tex = 'sin'
137.7662 	EXP 	grating: autoDraw = False
138.1187 	EXP 	window1: recordFrameIntervals = False
138.1201 	DATA 	Keypress: left
138.1330 	EXP 	fixation: autoDraw = False
138.1330 	EXP 	grating: autoDraw = False
138.1332 	EXP 	window1: recordFrameIntervals = False
139.1119 	EXP 	fixation: autoDraw = True
140.1157 	EXP 	fixation: autoDraw = False
140.1157 	EXP 	grating: autoDraw = True
140.1157 	EXP 	grating: tex = 'sin'
140.4153 	EXP 	grating: autoDraw = False
140.9343 	EXP 	window1: recordFrameIntervals = False
140.9354 	DATA 	Keypress: left
140.9483 	EXP 	fixation: autoDraw = False
140.9483 	EXP 	grating: autoDraw = False
140.9485 	EXP 	window1: recordFrameIntervals = False
141.9270 	EXP 	fixation: autoDraw = True
142.9312 	EXP 	fixation: autoDraw = False
142.9312 	EXP 	grating: autoDraw = True
142.9312 	EXP 	grating: tex = 'sin'
143.2310 	EXP 	grating: autoDraw = False
143.5000 	EXP 	window1: recordFrameIntervals = False
143.5012 	DATA 	Keypress: left
143.5144 	EXP 	fixation: autoDraw = False
143.5144 	EXP 	grating: autoDraw = False
143.5146 	EXP 	window1: recordFrameIntervals = False
144.4943 	EXP 	fixation: autoDraw = True
145.4971 	EXP 	fixation: autoDraw = False
145.4971 	EXP 	grating: autoDraw = True
145.4971 	EXP 	grating: tex = 'sin'
145.7970 	EXP 	grating: autoDraw = False
146.0317 	EXP 	window1: recordFrameIntervals = False
146.0326 	DATA 	Keypress: left
146.0467 	EXP 	fixation: autoDraw = False
146.0467 	EXP 	grating: autoDraw = False
146.0468 	EXP 	window1: recordFrameIntervals = False
147.0258 	EXP 	fixation: autoDraw = True
148.0298 	EXP 	fixation: autoDraw = False
148.0298 	EXP 	grating: autoDraw = True
148.0298 	EXP 	grating: tex = 'sin'
148.3293 	EXP 	grating: autoDraw = False
148.6986 	EXP 	window1: recordFrameIntervals = False
